Date,GT3_Hits
2006-12-03,0
2006-12-10,0
2006-12-17,0
2006-12-24,0
2006-12-31,0
2007-01-07,0
2007-01-14,0
2007-01-21,60
2007-01-28,0
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,62
2007-04-08,0
2007-04-15,0
2007-04-22,61
2007-04-29,0
2007-05-06,0
2007-05-13,0
2007-05-20,49
2007-05-27,0
2007-06-03,0
2007-06-10,0
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,49
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,73
2007-08-26,0
2007-09-02,100
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,0
2007-10-07,60
2007-10-14,29
2007-10-21,0
2007-10-28,0
2007-11-04,0
2007-11-11,48
2007-11-18,0
2007-11-25,0
2007-12-02,0
2007-12-09,0
2007-12-16,95
2007-12-23,0
2007-12-30,0
2008-01-06,0
2008-01-13,0
2008-01-20,0
2008-01-27,0
2008-02-03,53
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,46
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,33
2008-04-13,0
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,0
2008-05-18,0
2008-05-25,27
2008-06-01,0
2008-06-08,55
2008-06-15,0
2008-06-22,0
2008-06-29,41
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,70
2008-08-10,0
2008-08-17,0
2008-08-24,0
2008-08-31,0
2008-09-07,25
2008-09-14,0
2008-09-21,0
2008-09-28,0
2008-10-05,24
2008-10-12,0
2008-10-19,30
2008-10-26,0
2008-11-02,0
2008-11-09,0
2008-11-16,35
2008-11-23,0
2008-11-30,0
2008-12-07,0
2008-12-14,52
2008-12-21,35
2008-12-28,35
2009-01-04,20
2009-01-11,0
2009-01-18,35
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,26
2009-03-08,0
2009-03-15,0
2009-03-22,42
2009-03-29,0
2009-04-05,38
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,52
2009-06-28,0
2009-07-05,0
2009-07-12,35
2009-07-19,22
2009-07-26,0
2009-08-02,51
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,31
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,0
2009-11-22,23
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,36
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,21
2010-08-01,0
2010-08-08,26
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
