Date,GT1_Hits
2006-12-03,0
2006-12-10,30
2006-12-17,0
2006-12-24,45
2006-12-31,0
2007-01-07,0
2007-01-14,0
2007-01-21,0
2007-01-28,29
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,74
2007-04-01,33
2007-04-08,0
2007-04-15,0
2007-04-22,0
2007-04-29,0
2007-05-06,0
2007-05-13,0
2007-05-20,0
2007-05-27,76
2007-06-03,0
2007-06-10,24
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,0
2007-09-02,0
2007-09-09,46
2007-09-16,22
2007-09-23,38
2007-09-30,0
2007-10-07,0
2007-10-14,0
2007-10-21,76
2007-10-28,37
2007-11-04,49
2007-11-11,0
2007-11-18,91
2007-11-25,25
2007-12-02,68
2007-12-09,38
2007-12-16,0
2007-12-23,0
2007-12-30,72
2008-01-06,16
2008-01-13,18
2008-01-20,0
2008-01-27,31
2008-02-03,0
2008-02-10,57
2008-02-17,0
2008-02-24,24
2008-03-02,33
2008-03-09,0
2008-03-16,16
2008-03-23,42
2008-03-30,0
2008-04-06,33
2008-04-13,19
2008-04-20,71
2008-04-27,0
2008-05-04,0
2008-05-11,16
2008-05-18,89
2008-05-25,0
2008-06-01,18
2008-06-08,60
2008-06-15,0
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,69
2008-08-03,0
2008-08-10,0
2008-08-17,0
2008-08-24,34
2008-08-31,30
2008-09-07,0
2008-09-14,26
2008-09-21,16
2008-09-28,28
2008-10-05,0
2008-10-12,48
2008-10-19,83
2008-10-26,51
2008-11-02,45
2008-11-09,51
2008-11-16,33
2008-11-23,50
2008-11-30,0
2008-12-07,51
2008-12-14,21
2008-12-21,0
2008-12-28,37
2009-01-04,42
2009-01-11,58
2009-01-18,49
2009-01-25,29
2009-02-01,13
2009-02-08,27
2009-02-15,22
2009-02-22,33
2009-03-01,33
2009-03-08,25
2009-03-15,26
2009-03-22,28
2009-03-29,76
2009-04-05,0
2009-04-12,39
2009-04-19,0
2009-04-26,14
2009-05-03,0
2009-05-10,55
2009-05-17,64
2009-05-24,85
2009-05-31,61
2009-06-07,51
2009-06-14,47
2009-06-21,38
2009-06-28,84
2009-07-05,52
2009-07-12,55
2009-07-19,16
2009-07-26,59
2009-08-02,0
2009-08-09,42
2009-08-16,19
2009-08-23,55
2009-08-30,70
2009-09-06,34
2009-09-13,82
2009-09-20,35
2009-09-27,80
2009-10-04,37
2009-10-11,37
2009-10-18,36
2009-10-25,66
2009-11-01,39
2009-11-08,50
2009-11-15,19
2009-11-22,40
2009-11-29,79
2009-12-06,41
2009-12-13,90
2009-12-20,34
2009-12-27,44
2010-01-03,19
2010-01-10,30
2010-01-17,52
2010-01-24,71
2010-01-31,23
2010-02-07,52
2010-02-14,27
2010-02-21,50
2010-02-28,21
2010-03-07,39
2010-03-14,28
2010-03-21,21
2010-03-28,52
2010-04-04,21
2010-04-11,28
2010-04-18,0
2010-04-25,23
2010-05-02,22
2010-05-09,13
2010-05-16,18
2010-05-23,39
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,100
2010-06-27,42
2010-07-04,22
2010-07-11,28
2010-07-18,0
2010-07-25,13
2010-08-01,0
2010-08-08,0
2010-08-15,33
2010-08-22,28
2010-08-29,35
2010-09-05,33
2010-09-12,44
2010-09-19,19
2010-09-26,33
2010-10-03,13
2010-10-10,11
2010-10-17,50
2010-10-24,13
2010-10-31,41
2010-11-07,32
2010-11-14,40
2010-11-21,56
2010-11-28,12
