,Date,Hits
0,2007-01-07,60
1,2007-01-14,49
2,2007-01-21,41
3,2007-01-28,44
4,2007-02-04,40
5,2007-02-11,42
6,2007-02-18,39
7,2007-02-25,44
8,2007-03-04,55
9,2007-03-11,62
10,2007-03-18,52
11,2007-03-25,58
12,2007-04-01,38
13,2007-04-08,34
14,2007-04-15,40
15,2007-04-22,38
16,2007-04-29,39
17,2007-05-06,79
18,2007-05-13,77
19,2007-05-20,49
20,2007-05-27,51
21,2007-06-03,48
22,2007-06-10,43
23,2007-06-17,95
24,2007-06-24,39
25,2007-07-01,32
26,2007-07-08,32
27,2007-07-15,36
28,2007-07-22,34
29,2007-07-29,36
30,2007-08-05,28
31,2007-08-12,26
32,2007-08-19,32
33,2007-08-26,35
34,2007-09-02,33
35,2007-09-09,39
36,2007-09-16,42
37,2007-09-23,45
38,2007-09-30,34
39,2007-10-07,36
40,2007-10-14,37
41,2007-10-21,32
42,2007-10-28,37
43,2007-11-04,30
44,2007-11-11,31
45,2007-11-18,27
46,2007-11-25,34
47,2007-12-02,41
48,2007-12-09,50
49,2007-12-16,34
50,2007-12-23,17
51,2007-12-30,23
52,2008-01-06,29
53,2008-01-13,33
54,2008-01-20,33
55,2008-01-27,37
56,2008-02-03,31
57,2008-02-10,32
58,2008-02-17,34
59,2008-02-24,38
60,2008-03-02,30
61,2008-03-09,39
62,2008-03-16,32
63,2008-03-23,40
64,2008-03-30,40
65,2008-04-06,42
66,2008-04-13,32
67,2008-04-20,27
68,2008-04-27,36
69,2008-05-04,29
70,2008-05-11,39
71,2008-05-18,43
72,2008-05-25,40
73,2008-06-01,33
74,2008-06-08,32
75,2008-06-15,22
76,2008-06-22,19
77,2008-06-29,35
78,2008-07-06,25
79,2008-07-13,16
80,2008-07-20,18
81,2008-07-27,15
82,2008-08-03,26
83,2008-08-10,12
84,2008-08-17,22
85,2008-08-24,15
86,2008-08-31,27
87,2008-09-07,25
88,2008-09-14,37
89,2008-09-21,30
90,2008-09-28,15
91,2008-10-05,26
92,2008-10-12,23
93,2008-10-19,20
94,2008-10-26,19
95,2008-11-02,19
96,2008-11-09,16
97,2008-11-16,34
98,2008-11-23,28
99,2008-11-30,21
100,2008-12-07,25
101,2008-12-14,20
102,2008-12-21,18
103,2008-12-28,20
104,2009-01-04,26
105,2009-01-11,28
106,2009-01-18,23
107,2009-01-25,25
108,2009-02-01,25
109,2009-02-08,26
110,2009-02-15,25
111,2009-02-22,30
112,2009-03-01,29
113,2009-03-08,29
114,2009-03-15,21
115,2009-03-22,24
116,2009-03-29,22
117,2009-04-05,22
118,2009-04-12,17
119,2009-04-19,25
120,2009-04-26,21
121,2009-05-03,25
122,2009-05-10,32
123,2009-05-17,28
124,2009-05-24,27
125,2009-05-31,25
126,2009-06-07,37
127,2009-06-14,27
128,2009-06-21,31
129,2009-06-28,22
130,2009-07-05,19
131,2009-07-12,16
132,2009-07-19,21
133,2009-07-26,10
134,2009-08-02,13
135,2009-08-09,10
136,2009-08-16,13
137,2009-08-23,12
138,2009-08-30,16
139,2009-09-06,20
140,2009-09-13,62
141,2009-09-20,33
142,2009-09-27,23
143,2009-10-04,18
144,2009-10-11,18
145,2009-10-18,16
146,2009-10-25,10
147,2009-11-01,18
148,2009-11-08,17
149,2009-11-15,36
150,2009-11-22,23
151,2009-11-29,18
152,2009-12-06,17
153,2009-12-13,18
154,2009-12-20,17
155,2009-12-27,11
156,2010-01-03,14
157,2010-01-10,15
158,2010-01-17,15
159,2010-01-24,18
160,2010-01-31,14
161,2010-02-07,15
162,2010-02-14,15
163,2010-02-21,18
164,2010-02-28,15
165,2010-03-07,20
166,2010-03-14,16
167,2010-03-21,19
168,2010-03-28,13
169,2010-04-04,15
170,2010-04-11,21
171,2010-04-18,25
172,2010-04-25,16
173,2010-05-02,20
174,2010-05-09,20
175,2010-05-16,21
176,2010-05-23,28
177,2010-05-30,17
178,2010-06-06,17
179,2010-06-13,17
180,2010-06-20,11
181,2010-06-27,15
182,2010-07-04,14
183,2010-07-11,12
184,2010-07-18,11
185,2010-07-25,12
186,2010-08-01,5
187,2010-08-08,9
188,2010-08-15,10
189,2010-08-22,10
190,2010-08-29,10
191,2010-09-05,17
192,2010-09-12,13
193,2010-09-19,14
194,2010-09-26,16
195,2010-10-03,21
196,2010-10-10,20
197,2010-10-17,34
198,2010-10-24,35
199,2010-10-31,47
200,2010-11-07,38
201,2010-11-14,100
202,2010-11-21,26
