location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Sunshine Duration
unit,°F,mm,%,min
level,2 m elevation corrected,sfc,2 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Sunshine Duration
20070105T2000,45.73444,0.0,80.76222,0.0
20070105T2100,45.60844,0.0,82.41585,0.0
20070105T2200,45.51844,0.0,83.750595,0.0
20070105T2300,45.410442,0.0,84.39148,0.0
20070106T0000,45.21244,0.0,83.84603,0.0
20070106T0100,44.618443,0.0,85.40991,0.0
20070106T0200,44.708443,0.0,84.34192,0.0
20070106T0300,44.924442,0.2,83.64843,0.0
20070106T0400,44.97844,0.2,83.888016,0.0
20070106T0500,44.87044,0.2,85.30688,0.0
20070106T0600,45.42844,0.2,85.045876,0.0
20070106T0700,45.60844,0.1,85.475716,0.0
20070106T0800,45.986443,0.0,86.099594,0.0
20070106T0900,46.27444,0.0,85.99791,0.0
20070106T1000,46.616444,0.0,86.139465,0.0
20070106T1100,47.78644,0.0,83.56448,4.8484864
20070106T1200,48.88444,0.0,81.868095,12.121214
20070106T1300,49.820442,0.0,79.761765,20.60606
20070106T1400,49.71244,0.0,80.47341,21.212122
20070106T1500,50.000443,0.0,79.1174,27.272726
20070106T1600,49.98244,0.0,78.78779,16.363636
20070106T1700,49.15444,0.0,80.37154,5.6111097
20070106T1800,49.028442,0.0,80.08264,0.0
20070106T1900,49.71244,0.0,77.67812,0.0
20070106T2000,50.05444,0.0,74.534424,0.0
20070106T2100,51.04444,0.0,70.98776,0.0
20070106T2200,51.11644,0.2,72.64732,0.0
20070106T2300,52.826443,0.0,72.83023,0.0
20070107T0000,52.664444,0.4,77.25469,0.0
20070107T0100,51.87244,1.0,84.2542,0.0
20070107T0200,51.49444,0.6,86.49724,0.0
20070107T0300,51.18844,0.1,87.485886,0.0
20070107T0400,50.93644,0.1,87.889786,0.0
20070107T0500,50.612442,0.0,87.215355,0.0
20070107T0600,49.388443,0.0,89.01639,0.0
20070107T0700,48.56044,0.0,90.700584,0.0
20070107T0800,48.110443,0.0,91.2428,0.0
20070107T0900,47.42644,0.0,91.15107,6.226937
20070107T1000,48.03844,0.0,89.8089,10.30303
20070107T1100,48.758442,0.0,86.630135,9.090908
20070107T1200,49.31644,0.0,83.67407,12.727271
20070107T1300,49.46044,0.0,81.6302,19.393942
20070107T1400,49.820442,0.0,79.43114,27.878788
20070107T1500,49.92844,0.0,78.23885,41.21212
20070107T1600,48.81244,0.0,80.73458,43.0303
20070107T1700,47.03044,0.0,83.97649,40.67559
20070107T1800,46.41844,0.0,84.1089,0.0
20070107T1900,45.104443,0.0,89.16646,0.0
20070107T2000,45.44644,0.0,88.936,0.0
20070107T2100,45.66244,0.0,89.31954,0.0
20070107T2200,44.87044,0.0,89.96697,0.0
20070107T2300,46.31044,0.0,89.414474,0.0
20070108T0000,46.56244,0.0,88.809456,0.0
20070108T0100,45.87844,0.0,89.579216,0.0
20070108T0200,45.374443,0.0,90.17958,0.0
20070108T0300,45.410442,0.0,91.25351,0.0
20070108T0400,46.166443,0.0,88.48064,0.0
20070108T0500,46.742443,0.0,85.84836,0.0
20070108T0600,47.51644,0.0,83.0235,0.0
20070108T0700,48.164444,0.0,81.019,0.0
20070108T0800,49.17244,0.0,79.3201,0.0
20070108T0900,49.92844,0.0,78.89226,12.095454
20070108T1000,50.19844,0.0,79.57353,19.999998
20070108T1100,50.720444,0.9,78.25586,2.4242413
20070108T1200,51.008442,0.4,78.44383,12.121214
20070108T1300,51.53044,0.1,79.52242,12.727271
20070108T1400,52.05244,0.0,79.45757,12.121214
20070108T1500,52.124443,0.0,78.43473,22.424244
20070108T1600,52.14244,0.0,76.94146,10.30303
20070108T1700,51.56644,0.0,78.547325,29.234009
20070108T1800,50.55844,0.0,82.11016,0.0
20070108T1900,50.73844,0.4,80.946655,0.0
20070108T2000,51.04444,0.0,79.865074,0.0
20070108T2100,51.386444,0.0,79.073875,0.0
20070108T2200,51.18844,0.2,79.767334,0.0
20070108T2300,50.88244,0.2,79.41252,0.0
20070109T0000,50.95444,0.0,79.47342,0.0
20070109T0100,51.08044,0.0,80.143326,0.0
20070109T0200,51.386444,0.0,82.004265,0.0
20070109T0300,51.692444,0.0,84.242,0.0
20070109T0400,51.90844,0.2,84.544075,0.0
20070109T0500,52.16044,0.3,85.253555,0.0
20070109T0600,52.14244,0.3,88.07381,0.0
20070109T0700,52.64644,0.1,88.57756,0.0
20070109T0800,53.07844,0.2,89.13802,0.0
20070109T0900,53.29444,0.0,88.55064,6.316499
20070109T1000,53.31244,0.0,87.77973,2.4242413
20070109T1100,53.276443,0.0,88.19272,5.454544
20070109T1200,54.73444,0.0,85.64497,4.8484864
20070109T1300,54.66244,0.0,85.58308,10.30303
20070109T1400,54.82444,0.0,82.87376,24.848484
20070109T1500,54.82444,0.0,82.372444,30.303032
20070109T1600,54.66244,0.0,81.530525,34.545456
20070109T1700,54.10444,0.0,83.10264,35.18148
20070109T1800,53.72644,0.0,83.753136,0.0
20070109T1900,53.29444,0.0,84.63555,0.0
20070109T2000,52.39444,0.0,84.57631,0.0
20070109T2100,51.36844,0.0,84.91276,0.0
20070109T2200,50.27044,0.0,84.78235,0.0
